"","scenario","E","S","C","1-R^2"
"1","A","0.75 (0.11)","0.026 (0.019)","0.044 (0.062)","0.18 (0.11)"
"2","B","0.019 (0.015)","0.15 (0.037)","0.019 (0.036)","0.81 (0.04)"
"3","C","0.42 (0.31)","0.21 (0.2)","0.14 (0.16)","0.23 (0.12)"
"4","D","0.018 (0.026)","0.35 (0.3)","0.28 (0.33)","0.35 (0.33)"
"5","E","0.63 (0.21)","0.067 (0.069)","0.13 (0.15)","0.18 (0.089)"
"6","F","0.74 (0.097)","0.035 (0.025)","0.047 (0.057)","0.18 (0.097)"
"7","G","0.5 (0.17)","0.08 (0.072)","0.2 (0.16)","0.22 (0.12)"
"8","A sites","0.00075 (0.00065)","4.2e-05 (5.9e-05)","5.1e-05 (4.7e-05)","1 (0.00067)"
"9","B sites","2.1e-05 (2.2e-05)","0.00015 (0.00011)","2.1e-05 (4.1e-05)","1 (0.00013)"
"10","C sites","0.00041 (0.00038)","0.00021 (0.00021)","0.00015 (0.00016)","1 (4e-04)"
"11","D sites","3.8e-05 (6.8e-05)","0.00035 (0.00037)","0.00031 (0.00033)","1 (0.00051)"
"12","E sites","0.00063 (0.00055)","7.8e-05 (8.4e-05)","0.00013 (0.00011)","1 (0.00055)"
"13","F sites","0.00074 (0.00064)","5.3e-05 (7.6e-05)","7.3e-05 (8.2e-05)","1 (0.00065)"
"14","G sites","5e-04 (0.00045)","8.8e-05 (9.6e-05)","2e-04 (0.00015)","1 (0.00047)"
